# policy-gate-dependencies.tsv — install-time copy manifest for policy-gate workflows.
#
# Each row: <workflow_yml_basename>	<path relative to Engineering OS root>.
# install-policy-gates.sh copies every dependency row for a workflow it installs,
# so an installed target project's CI checkout has the script/data files that
# workflow's `bash scripts/enforcement/...` (or similar) steps actually call.
#
# test-install-policy-gate-coverage.sh fails closed if a workflow's real
# `bash scripts/enforcement/...` call site has no matching row here, so a new
# gate dependency is a manifest row, not a forgotten copy block.
#
# workflow	dependency
pr-policy.yml	scripts/enforcement/check-pr-review-evidence.sh
pr-policy.yml	scripts/enforcement/check-operational-behavior-evidence.sh
pr-policy.yml	scripts/enforcement/check-operational-work-history-evidence.sh
pr-policy.yml	scripts/enforcement/check-live-review-threads.py
pr-policy.yml	scripts/monitoring/collect-pr-work-history.py
pr-policy.yml	scripts/monitoring/enrich-work-history-ci-history.py
pr-policy.yml	scripts/monitoring/select-pr-telemetry.py
pr-policy.yml	scripts/monitoring/telemetry_handoff.py
pr-policy.yml	scripts/enforcement/result-loop-requirements.tsv
connector-evidence-policy.yml	scripts/enforcement/check-connector-evidence.sh
workflow-evidence-policy.yml	scripts/enforcement/check-workflow-evidence.sh
capability-evidence-policy.yml	scripts/enforcement/check-capability-staged-changes.sh
capability-evidence-policy.yml	scripts/enforcement/validate-capability-evidence.sh
capability-evidence-policy.yml	scripts/enforcement/check-cv-external-system-selection.sh
capability-evidence-policy.yml	scripts/enforcement/capability-staged-map.tsv
capability-evidence-policy.yml	core/capability-registry.yaml
documentation-asset-policy.yml	scripts/enforcement/check-documentation-asset-evidence.sh
import-cleanup-policy.yml	scripts/enforcement/check-import-cleanup.py
