# connector	mode	keyword_ere	reason
# mode=auto: connector is required when the ERE matches task class + domain tags + target.
# mode=manual: never auto-required; the reason documents why selection stays judgment-based.
# Inventory coverage: every connectors/<name>/ row in external-systems/README.md must have a row here
# (validated by check-required-connectors.sh --check-coverage).
github	auto	code|bug|debug|feature|refactor|engineering_os|governance|hook|enforcement|script|repo|github|\.github|pull|pr|branch|merge|commit	repo/code/PR state must be read from GitHub rather than guessed
notion	auto	code_change|bug|debug|incident|rollback|hotfix|regression|feature|refactor|new_project|saas|engineering_os|governance|implementation|architecture|multi-file|non-trivial	non-trivial work must be planned and progress-validated in Notion
context7	auto	api|sdk|library|framework|package|dependency|npm|pip|stripe|supabase|firebase|clerk|vercel|react|next|expo|openai|anthropic	API/library/framework work needs current official documentation
sentry	auto	debug|bug|incident|rollback|hotfix|regression|crash|sentry|production[ -_]*(failure|bug|incident)	debugging/incident work must inspect runtime error data when available
supabase	auto	supabase|database|db|sql|migration|rls|storage|data|auth table|row level	database/auth/data state must be queried from the configured backend
vercel	auto	vercel|deploy|deployment|hosting|production|env|environment variable|release	deployment/environment state must be validated from the hosting platform
figma	auto	figma|ui|ux|design|frontend|component|screen|wireframe|prototype	UI/UX/design work must use the design source-of-truth when available
expo	auto	expo|mobile|android|ios|react native|app build|apk|ipa	mobile build/deploy state must be validated through Expo when applicable
postman	auto	postman|endpoint|http|rest|api test|webhook|request|response	API endpoints/integrations need request/response validation
slack	auto	(^|[^a-z0-9])slack([^a-z0-9]|$)	Slack-integrated work must read and send through the Slack connector
linear	auto	linear[ -]?(issue|ticket|app|project)|linear\.app	Linear-tracked work must read issue state from Linear
jira	auto	(^|[^a-z0-9])jira([^a-z0-9]|$)	Jira-tracked work must read issue state from Jira
stripe	auto	(^|[^a-z0-9])stripe([^a-z0-9]|$)|payment webhook|billing integration	payment/billing integration state must be validated against Stripe
postgres	auto	postgres|postgresql|sql|database|migration|schema|query|index|rls	direct Postgres work must query the live schema and state
google-drive	auto	google[ -]drive|gdrive|drive file|document asset|docs asset|shared document|uploaded document	Drive-stored assets must be read through the Drive connector
google-sheets	auto	google[ -]sheets?|sheets sync|spreadsheet|sheet row|sheet data|csv import|worksheet	sheet-driven data must be read through the Sheets connector
discord	auto	(^|[^a-z0-9])discord([^a-z0-9]|$)	Discord-integrated work must use the Discord connector
