# gate_id	owner	enforcer	test_file	positive	negative	invalid	waiver	notes
# Coverage cells use covered:<literal token in test_file>, waived:<specific reason> for
# coverage debt, or none-by-design:<reason> for gates that deliberately expose no waiver path.
simulation-coverage	validation-governance	scripts/enforcement/check-simulation-coverage.sh	scripts/enforcement/tests/test-simulation-coverage.sh	covered:executed-scenarios-pass	covered:comment-only-source-does-not-count	covered:malformed-row-fails	covered:waiver-row-passes	Meta-gate for simulation coverage inventory.
workflow-plan-quality	workflow-governance	scripts/enforcement/check-workflow-evidence.sh	scripts/enforcement/tests/test-plan-quality.sh	covered:scenario:good	covered:scenario:bad-source	covered:scenario:bad-trace	none-by-design:Plan quality is a hard requirement; the gate deliberately exposes no waiver path.	Plan-quality gate remains hard; waiver gap is documented.
workflow-semantic-quality	workflow-governance	scripts/enforcement/check-workflow-evidence.sh	scripts/enforcement/tests/test-plan-semantic-quality.sh	covered:scenario:good-target-source	covered:scenario:bad-generic-sources	covered:scenario:canonical-only-sources-fail	none-by-design:Source relevance is a hard plan-quality requirement with no waiver path.	Semantic source relevance is hard-gated for covered cases.
progress-lifecycle	progress-governance	scripts/enforcement/check-workflow-evidence.sh	scripts/enforcement/tests/test-progress-lifecycle.sh	covered:ordered-progress	covered:no-progress	covered:single-final-backfill	none-by-design:Progress lifecycle exposes no dedicated waiver; global workflow authorization is handled outside this checker.	Progress lifecycle covers ordered positive flow plus missing, prefilled, final-backfill, and stale-final-evidence failures.
connector-evidence	connector-governance	scripts/enforcement/check-connector-evidence.sh	scripts/enforcement/tests/test-connector-evidence.sh	covered:connector-with-evidence	covered:connector-without-evidence	covered:connector-result-without-identifier-fails	covered:connector-unavailable-scoped-active-pass	Connector evidence coverage includes declaration, usage fields, decision impact, result identifiers, and target linkage.
required-connectors	connector-governance	scripts/enforcement/check-required-connectors.sh	scripts/enforcement/tests/test-required-connectors.sh	covered:incident_with_notion_selection_allows_plan	covered:bug_payment_plan_requires_all_source_connectors	covered:empty_connector_waiver_is_rejected	covered:connector_waiver_requires_real_reason	Connector selection gate covers required, missing, invalid waiver, and valid waiver behavior; inventory coverage is exercised by repo_inventory_coverage_passes/unmapped_inventory_connector_fails_coverage in the same test file.
required-skills	skill-governance	scripts/enforcement/check-required-skills.sh	scripts/enforcement/tests/test-skill-selection-gate.sh	covered:scenario:ui-skill-selected	covered:scenario:ui-skill-missing-rejected	covered:scenario:deprecated-skill-rejected	covered:scenario:memory-skill-waiver-accepted	Standalone checker covers selection; runtime test covers waiver integration.
runtime-evidence	skill-governance	scripts/enforcement/check-runtime-evidence.sh	scripts/enforcement/tests/test-runtime-evidence.sh	covered:OK write after plan and router/workflow evidence	covered:OK declared connector without evidence remains blocked	covered:OK write before route plan	covered:OK documented connector waiver permits write gate	Runtime evidence has positive, negative, malformed/missing preconditions, and waiver cases.
learning-capture	learning-governance	scripts/enforcement/enforce-learning-capture.sh	scripts/enforcement/tests/test-learning-capture.sh	covered:debugging_allows_staged_lesson	covered:bug_fix_requires_full_lesson	covered:placeholder_lesson_does_not_satisfy_capture	covered:waiver_does_not_replace_bug_lesson	Learning closure gate covers valid lesson, missing lesson, invalid lesson, and invalid waiver behavior.
run-trace	trace-governance	scripts/enforcement/enforce-run-trace.sh	scripts/enforcement/tests/test-run-trace.sh	covered:complete_connector_trace_allows_change	covered:connector_change_requires_run_trace	covered:incomplete_trace_blocks_connector_change	covered:focused_run_trace_waiver_allows_connector_change	Run trace coverage includes complete trace, missing trace, incomplete trace, and focused waiver behavior.
rtk-context	context-governance	scripts/enforcement/check-rtk-contract.sh	scripts/enforcement/tests/test-context-optimizer-contract.sh	covered:good_fixture_contract_passes	covered:missing_bash_hook_fails	waived:Invalid policy coverage is separated into the rtk-context-invalid-policy extension row.	none-by-design:The target project RTK runtime contract is mandatory and exposes no route-plan waiver path.	RTK runtime contract coverage is split across base and extension rows.
readiness-audit	ops-readiness	scripts/enforcement/check-readiness-audit.sh	scripts/enforcement/tests/test-readiness-audit.sh	covered:current_audit_passes	covered:partial_without_gap_link_fails	covered:plain_manual_status_fails	none-by-design:Readiness audit coverage is inventory validation; removing required rows must fail CI, so no waiver exists.	Readiness inventory is intentionally non-waivable; classification rules are fixture-tested.
use-in-project-contract	install-governance	.github/workflows/enforcement-tests.yml	scripts/enforcement/tests/test-clean-install-and-usage.sh	covered:OK install is idempotent: one settings file	covered:OK write blocked before any Route Plan exists	covered:OK JSON guard blocks malformed event	none-by-design:The installer contract is a deterministic CI contract with no user-facing waiver path.	Installer contract has no user-facing waiver path.
post-merge-validation	merge-governance	scripts/enforcement/check-post-merge-validation-contract.sh	scripts/enforcement/tests/test-post-merge-validation-contract.sh	covered:current_workflow_passes	covered:missing_push_main_fails	covered:missing_repair_issue_fails	covered:explicit_waiver_passes	Post-merge validation has positive, missing trigger, missing repair-loop, and explicit waiver coverage.
remote-telemetry-handoff	ops-readiness	scripts/monitoring/select-pr-telemetry.py	scripts/enforcement/tests/test-remote-telemetry-handoff.sh	covered:remote telemetry handoff tests passed	covered:scenario:selector-rejected-wrong-repo	covered:scenario:checksum-mismatch-rejected	none-by-design:Required telemetry handoff is deliberately fail-closed and has no experiment waiver path.	Covers separate-workspace persistence, canonical repository identity, exact PR/branch/head matching, strict remote validation, privacy and tamper rejection, OWH correlation, and current-workspace-bound preflight state.
live-review-threads	review-governance	scripts/enforcement/check-live-review-threads.py	scripts/enforcement/tests/test-live-review-threads.sh	covered:scenario:resolved-threads-accepted	covered:scenario:current-unresolved-rejected	covered:scenario:missing-thread-metadata-rejected	none-by-design:Live unresolved review threads must be resolved explicitly and expose no merge-readiness waiver.	Covers resolved, current unresolved, outdated unresolved, and unavailable metadata cases.
