bypass	gate	action	surface	target_type	fingerprint_contract	target_commit_contract	classification
EOS_BYPASS_WORKFLOW	workflow	disable-workflow-enforcement	PreToolUse	tool-event	sha256:canonical-hook-input	exact-protected-head	master-disabled
EOS_BYPASS_RUNTIME_EVIDENCE	runtime-evidence	disable-runtime-evidence-enforcement	PreToolUse	tool-event	sha256:canonical-hook-input	exact-protected-head	master-disabled
EOS_BYPASS_GIT	git	disable-git-enforcement	PreToolUse	git-command	sha256:canonical-git-command	exact-protected-head	master-disabled
EOS_BYPASS_CONNECTOR	connector	disable-connector-enforcement	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	master-disabled
EOS_BYPASS_SKILL	skill	disable-skill-enforcement	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	master-disabled
EOS_BYPASS_QUALITY	quality	disable-quality-enforcement	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	master-disabled
EOS_BYPASS_DEBUG	debugging	disable-debugging-enforcement	commit-msg	commit-message	sha256:commit-message-and-staged-tree	exact-protected-head	master-disabled
EOS_BYPASS_LEARNING	learning	disable-learning-enforcement	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	master-disabled
EOS_BYPASS_RESOURCE	resource	disable-resource-enforcement	hook	hook-input	sha256:canonical-hook-input	exact-protected-head	master-disabled
EOS_BYPASS_TESTS	tests	disable-test-enforcement	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	master-disabled
EOS_BYPASS_DOC	documentation	disable-documentation-enforcement	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	master-disabled
EOS_BYPASS_DOD	workflow	allow-incomplete-definition-of-done	PreToolUse+pre-commit	route-plan-or-staged-tree	sha256:route-plan-or-staged-tree	exact-protected-head	action-specific
EOS_BYPASS_VERIFY	workflow	allow-commit-without-verification-evidence	pre-commit	staged-tree	sha256:staged-tree	exact-protected-head	action-specific
EOS_BYPASS_GRAPHIFY	workflow	allow-write-without-graph-query	PreToolUse	write-target	sha256:canonical-hook-input	exact-protected-head	action-specific
