# project_type_id	status	source_doc_path	target_manifest_path	setup_command	run_command	visible_result	creator_local_review	required_tests	user_simulation	feedback_surfaces	performance_monitoring	acceptance_metrics	change_impact_measurement	telemetry_export	failure_repair_loop	evidence_artifacts	exemption_state	audit_link	gap_link
web-application	required	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install dependencies and seed demo data with the selected web stack	start local web app with the stack run command	local browser URL showing representative user flow	creator opens local URL and reviews current UI plus trace or screenshot evidence	unit integration Playwright browser e2e and Lighthouse CI checks	Playwright browser e2e covers happy path and at least one failure path	visual screenshot video trace console network log and test report	Lighthouse performance budget plus latency error and runtime metrics	pass fail thresholds for tests accessibility and performance budget criteria	before/after screenshot trace and performance comparison against baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop completion claim record failing signal fix smallest cause rerun failing check and full gate set export telemetry	test report screenshot video trace log and telemetry bundle artifact	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#enforcement-implementation	none
mobile-application	required	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install mobile dependencies and prepare emulator simulator device or development build	run mobile app on emulator simulator device or development build	device simulator emulator or development build surface with representative flow	creator reviews the app on device simulator emulator or development build with screenshot or video	unit integration and stack-native mobile checks with Appium or equivalent flow tests	Appium or native user-flow automation covers happy path and failure path	screenshot video crash log device log and runtime report	launch time interaction latency memory cpu crash rate and error metrics	pass fail thresholds for flow tests launch latency memory and crash rate	before/after device screenshot video and performance comparison against baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop completion claim record failing signal fix smallest cause rerun mobile flow and gate set export telemetry	mobile screenshot video crash log flow report and telemetry bundle artifact	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#enforcement-implementation	none
desktop-application	required	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install desktop dependencies and prepare dev-run or packaged app	run desktop app in local dev-run or packaged mode	desktop app window with representative user flow	creator reviews local desktop window or packaged app with screenshot video and log	unit integration and desktop UI automation checks	Playwright Electron Tauri WebDriver Appium or native UI automation covers main flow and failure path	screenshot video console log crash report and runtime log	launch time interaction latency memory cpu crash rate and error metrics	pass fail thresholds for UI automation launch latency memory and crash rate	before/after desktop screenshot video log and performance comparison against baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop completion claim record failing signal fix smallest cause rerun desktop UI flow and gate set export telemetry	desktop screenshot video console log crash report and telemetry bundle artifact	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#enforcement-implementation	none
game-development	required	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install engine dependencies and prepare editor play mode or local build	run editor play mode or local playable build	playable editor surface or local build with representative gameplay	creator reviews playable local build or editor play mode with video replay and profiler evidence	engine tests gameplay smoke tests and performance profiling checks	gameplay simulation through input playback bot automation or engine test runner	screenshot video replay log profiler trace and gameplay report	fps frame time memory load time crash rate and profiler metrics	pass fail thresholds for gameplay smoke tests fps frame time memory and crash rate	before/after gameplay visual replay and performance comparison against baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop completion claim record failing signal fix smallest cause rerun gameplay simulation and gate set export telemetry	playable build report screenshot video replay profiler trace log and telemetry bundle artifact	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#enforcement-implementation	none
api-service	required	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install service dependencies and seed local configuration	start local service with health endpoint enabled	health endpoint response and representative API response	creator calls local health endpoint and representative API endpoint and reviews logs metrics and traces	contract tests integration tests health checks and performance threshold checks	API client or k6 simulation covers success path and failure path	HTTP response log metric trace error report and test report	latency throughput error rate saturation metrics and trace sampling	pass fail thresholds for contract integration latency throughput and error criteria	before/after response contract and load threshold comparison against baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop completion claim record failing signal fix smallest cause rerun failing API check and gate set export telemetry	contract report integration report metric trace log and telemetry bundle artifact	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#enforcement-implementation	none
full-stack	required	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install frontend backend and database dependencies with seed demo data	start local full-stack frontend backend and database	local browser URL with frontend backend database flow	creator opens local URL and reviews complete flow plus backend logs and database-visible result	unit integration contract Playwright browser e2e and performance checks	Playwright browser e2e simulates user flow crossing frontend backend and database	screenshot video trace console network backend log database report and test report	Lighthouse budget plus backend latency error and runtime metrics	pass fail thresholds for e2e contract accessibility performance and backend metrics	before/after screenshot trace API response and performance comparison against baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop completion claim record failing signal fix smallest cause rerun failing full-stack flow and gate set export telemetry	e2e report screenshot video trace log database report and telemetry bundle artifact	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#enforcement-implementation	none
cli-tool	required	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install CLI dependencies in isolated environment	run CLI command with fixture input and help output	terminal output and generated files for representative command	creator runs local command and reviews output logs and generated files	golden output tests error-path tests and argument validation checks	CLI command simulation covers success path invalid arguments and failure path	terminal log stdout stderr generated file report and test log	runtime duration exit code error rate and resource metrics	pass fail thresholds for golden output error handling and runtime criteria	before/after output diff generated-file diff and runtime comparison against baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop completion claim record failing signal fix smallest cause rerun failing CLI case and gate set export telemetry	golden output report terminal log generated file and telemetry bundle artifact	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#enforcement-implementation	none
data-pipeline	required	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install pipeline dependencies and prepare fixture dataset	run dry-run backfill or pipeline task against fixture dataset	output dataset report or data quality result	creator reviews fixture output dataset report logs and data quality report	dry-run backfill data-quality validation and retry/failure behavior checks	pipeline simulation covers successful fixture run and malformed data failure path	output dataset data quality report log metric and failure report	runtime metrics row counts failure counts retry counts and data freshness metrics	pass fail thresholds for row counts quality checks runtime and retry criteria	before/after output dataset diff quality metric comparison and runtime comparison against baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop completion claim record failing signal fix smallest cause rerun failing pipeline check and gate set export telemetry	fixture output data quality report log metric and telemetry bundle artifact	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#enforcement-implementation	none
machine-learning	required	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install ML dependencies and prepare dataset fixture	run training inference or evaluation command on dataset fixture	model artifact evaluation report or inference output	creator reviews local evaluation report inference samples metrics and artifacts	training inference smoke tests and MLflow evaluation checks	evaluation simulation covers representative dataset slice and failure or regression case	evaluation report inference sample model artifact log and metrics report	metric score latency memory runtime and error metrics	pass fail thresholds for model metric score latency and regression criteria	before/after model metric comparison inference diff and artifact comparison against baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop completion claim record failing signal fix smallest cause rerun failing evaluation and gate set export telemetry	MLflow report evaluation metric inference sample model artifact log and telemetry bundle artifact	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#enforcement-implementation	none
ai-agent	required	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install agent dependencies and prepare eval set or retrieval fixture	run agent eval retrieval check or trace capture command	eval report trace artifact retrieval report or answer-quality output	creator reviews local eval report trace retrieval failure latency cost and error metrics	eval set retrieval quality checks trace checks and regression tests	agent eval simulation covers target tasks failure cases and retrieval edge cases	trace artifact eval report retrieval log cost log latency log and error report	latency cost error rate retrieval quality and eval score metrics	pass fail thresholds for eval score retrieval quality latency cost and error criteria	before/after eval score trace retrieval and latency cost comparison against baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop completion claim record failing signal fix smallest cause rerun failing eval and gate set export telemetry	eval report trace retrieval log latency cost report and telemetry bundle artifact	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#enforcement-implementation	none
computer-vision	required	docs/operations/result-loop-contract-plan.md	scripts/enforcement/result-loop-requirements.tsv	install vision dependencies and prepare fixture media	run vision pipeline on fixture image or video media	output media artifact review report or annotated result	creator reviews output artifact visual review report logs and runtime metrics	pipeline tests output validation visual review checks and runtime metric checks	vision simulation runs fixture media through happy path and failure or low-quality path	visual review evidence screenshot video output artifact log and report	quality metrics runtime latency memory throughput and error metrics	pass fail thresholds for output quality runtime performance and error criteria	before/after visual output diff quality metric comparison and runtime comparison against baseline	scripts/monitoring/export-telemetry-run.sh exports metadata-only telemetry bundle to telemetry-archive	stop completion claim record failing signal fix smallest cause rerun failing vision check and gate set export telemetry	output media artifact visual review report log metric and telemetry bundle artifact	not_exempt	docs/operations/result-loop-contract-audit-checklist.md#enforcement-implementation	none
